GeneA	edgeType	GeneB	relation_sif	count
BRIP1	controls-state-change-of	TP53	BRIP1 controls-state-change-of TP53	1
CDKN1B	controls-state-change-of	E2F3	CDKN1B controls-state-change-of E2F3	1
CTNNB1	controls-expression-of	CDKN2A	CTNNB1 controls-expression-of CDKN2A	1
POLE	controls-state-change-of	BRCA1	POLE controls-state-change-of BRCA1	1
TP53	controls-expression-of	PPM1D	TP53 controls-expression-of PPM1D	8
CTNNB1	controls-expression-of	CDKN1B	CTNNB1 controls-expression-of CDKN1B	1
KRAS	controls-state-change-of	RAF1	KRAS controls-state-change-of RAF1	1
PRKCI	controls-state-change-of	FBXW7	PRKCI controls-state-change-of FBXW7	1
PIK3CA	controls-expression-of	E2F3	PIK3CA controls-expression-of E2F3	1
JAK2	controls-state-change-of	HIST1H3B	JAK2 controls-state-change-of HIST1H3B	1
PIK3CA	controls-state-change-of	RB1	PIK3CA controls-state-change-of RB1	9
PIK3R1	controls-state-change-of	PIK3CA	PIK3R1 controls-state-change-of PIK3CA	1
CTNNB1	controls-expression-of	MYC	CTNNB1 controls-expression-of MYC	1
FGF3	controls-state-change-of	FGF19	FGF3 controls-state-change-of FGF19	9
KIT	controls-state-change-of	AKT1	KIT controls-state-change-of AKT1	4
AKT1	controls-state-change-of	CREBBP	AKT1 controls-state-change-of CREBBP	4
CD79B	controls-state-change-of	KRAS	CD79B controls-state-change-of KRAS	1
EGFR	controls-state-change-of	PIK3CA	EGFR controls-state-change-of PIK3CA	10
KRAS	controls-state-change-of	PIK3CA	KRAS controls-state-change-of PIK3CA	10
PPM1D	controls-state-change-of	MDM2	PPM1D controls-state-change-of MDM2	4
PDGFRA	controls-state-change-of	CD79B	PDGFRA controls-state-change-of CD79B	1
SRC	controls-state-change-of	PIK3CB	SRC controls-state-change-of PIK3CB	1
PDGFRA	controls-state-change-of	JAK1	PDGFRA controls-state-change-of JAK1	8
NTRK1	controls-state-change-of	STAT3	NTRK1 controls-state-change-of STAT3	1
MYB	controls-expression-of	ASXL2	MYB controls-expression-of ASXL2	4
EGFR	controls-state-change-of	PRKCQ	EGFR controls-state-change-of PRKCQ	10
FGF3	controls-state-change-of	FGFR2	FGF3 controls-state-change-of FGFR2	6
TP53	controls-expression-of	BRAF	TP53 controls-expression-of BRAF	10
E2F3	controls-expression-of	MYC	E2F3 controls-expression-of MYC	1
FGF3	controls-state-change-of	FGFR1	FGF3 controls-state-change-of FGFR1	2
EGFR	controls-expression-of	MYC	EGFR controls-expression-of MYC	10
SRC	controls-state-change-of	STAT5B	SRC controls-state-change-of STAT5B	1
MYB	controls-expression-of	RUNX1T1	MYB controls-expression-of RUNX1T1	5
AKT2	controls-state-change-of	FOXO3	AKT2 controls-state-change-of FOXO3	9
SRC	controls-state-change-of	STAT5A	SRC controls-state-change-of STAT5A	1
RRAS	controls-state-change-of	PIK3CB	RRAS controls-state-change-of PIK3CB	1
FOXA1	controls-expression-of	BRIP1	FOXA1 controls-expression-of BRIP1	2
CCNE1	controls-state-change-of	E2F3	CCNE1 controls-state-change-of E2F3	1
MYC	controls-expression-of	CDKN1B	MYC controls-expression-of CDKN1B	8
JAK1	controls-state-change-of	MAP3K1	JAK1 controls-state-change-of MAP3K1	4
CDKN2B	controls-state-change-of	CDK4	CDKN2B controls-state-change-of CDK4	1
PAK1	controls-state-change-of	KRAS	PAK1 controls-state-change-of KRAS	9
NF1	controls-state-change-of	KRAS	NF1 controls-state-change-of KRAS	2
JAK2	controls-state-change-of	CCND3	JAK2 controls-state-change-of CCND3	10
PRKCQ	controls-state-change-of	HIST1H3B	PRKCQ controls-state-change-of HIST1H3B	1
VEGFA	controls-state-change-of	PIK3CA	VEGFA controls-state-change-of PIK3CA	3
PIK3R1	controls-state-change-of	AKT2	PIK3R1 controls-state-change-of AKT2	1
TP53	controls-state-change-of	PIK3R1	TP53 controls-state-change-of PIK3R1	1
AKT2	controls-state-change-of	TP53	AKT2 controls-state-change-of TP53	11
AKT2	controls-state-change-of	HIST1H3B	AKT2 controls-state-change-of HIST1H3B	1
TCF3	controls-expression-of	NOTCH1	TCF3 controls-expression-of NOTCH1	1
CCND3	controls-state-change-of	RB1	CCND3 controls-state-change-of RB1	9
RUNX1	controls-expression-of	PRKCQ	RUNX1 controls-expression-of PRKCQ	10
PRKCE	controls-state-change-of	AKT1	PRKCE controls-state-change-of AKT1	4
FGF19	controls-state-change-of	AKT2	FGF19 controls-state-change-of AKT2	1
FANCD2	controls-expression-of	BRCA1	FANCD2 controls-expression-of BRCA1	1
AKT1	controls-state-change-of	NF2	AKT1 controls-state-change-of NF2	4
POLD1	controls-state-change-of	BRIP1	POLD1 controls-state-change-of BRIP1	1
RB1	controls-expression-of	PPM1D	RB1 controls-expression-of PPM1D	7
FGF19	controls-state-change-of	AKT1	FGF19 controls-state-change-of AKT1	4
EGFR	controls-state-change-of	CD79B	EGFR controls-state-change-of CD79B	1
FOXA1	controls-expression-of	HIST1H1C	FOXA1 controls-expression-of HIST1H1C	1
ERBB2	controls-state-change-of	FGF19	ERBB2 controls-state-change-of FGF19	1
ERBB2	controls-state-change-of	CTNNB1	ERBB2 controls-state-change-of CTNNB1	1
AKT1	controls-state-change-of	BCL2L1	AKT1 controls-state-change-of BCL2L1	5
CEBPA	controls-expression-of	FBXW7	CEBPA controls-expression-of FBXW7	4
