sif	count	sd_os	mean_os	sd_TMB	mean_TMB	OSs	elseOSs	TMBs	elseTMBs
AKT2 controls-state-change-of RAF1	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
KIT controls-state-change-of FGF3	6	6.693695209341067	8.833333333333334	1.0452870419171951	2.845	[13.0, 2.0, 2.0, 4.0, 12.0, 20.0]	[0.0, 5.0, 2.0, 1.0, 14.0]	[2.23, 2.63, 3.94, 0.98, 3.35, 3.94]	[5.58, 2.95, 2.95, 4.39, 4.92]
KMT2D controls-state-change-of MYC	1	0.0	1.0	0.0	4.39	[1.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 4.0, 12.0, 14.0, 20.0]	[4.39]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 0.98, 3.35, 4.92, 3.94]
KIT controls-state-change-of CD79B	1	0.0	20.0	0.0	3.94	[20.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0]	[3.94]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92]
JAK3 controls-state-change-of AKT1	1	0.0	20.0	0.0	3.94	[20.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0]	[3.94]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92]
CREBBP controls-expression-of CCND1	6	6.693695209341067	8.833333333333334	1.0452870419171951	2.845	[13.0, 2.0, 2.0, 4.0, 12.0, 20.0]	[0.0, 5.0, 2.0, 1.0, 14.0]	[2.23, 2.63, 3.94, 0.98, 3.35, 3.94]	[5.58, 2.95, 2.95, 4.39, 4.92]
PRKCQ controls-state-change-of RAF1	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
RB1 controls-expression-of CDKN1B	8	6.613197033205649	7.625	1.2097701227919295	3.2475	[13.0, 2.0, 5.0, 2.0, 1.0, 4.0, 14.0, 20.0]	[0.0, 2.0, 12.0]	[2.23, 2.63, 2.95, 3.94, 4.39, 0.98, 4.92, 3.94]	[5.58, 2.95, 3.35]
CREBBP controls-expression-of CCND2	8	6.224949798994366	9.0	1.1334874282496477	3.1175	[13.0, 2.0, 5.0, 2.0, 4.0, 12.0, 14.0, 20.0]	[0.0, 2.0, 1.0]	[2.23, 2.63, 2.95, 3.94, 0.98, 3.35, 4.92, 3.94]	[5.58, 2.95, 4.39]
RUNX1 controls-expression-of RNF43	1	0.0	2.0	0.0	2.95	[2.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
MDM2 controls-expression-of TP53	6	7.26674311886388	8.833333333333334	1.5900838552311218	3.3800000000000003	[13.0, 2.0, 0.0, 4.0, 14.0, 20.0]	[5.0, 2.0, 2.0, 1.0, 12.0]	[2.23, 2.63, 5.58, 0.98, 4.92, 3.94]	[2.95, 2.95, 3.94, 4.39, 3.35]
RAF1 controls-state-change-of RB1	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
KDR controls-state-change-of FGFR1	1	0.0	20.0	0.0	3.94	[20.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0]	[3.94]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92]
INPPL1 controls-state-change-of EGFR	1	0.0	0.0	0.0	5.58	[0.0]	[13.0, 2.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[5.58]	[2.23, 2.63, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
TP53 controls-expression-of RB1	9	6.384781288248286	8.11111111111111	1.1410369985669901	3.258888888888889	[13.0, 2.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[0.0, 2.0]	[2.23, 2.63, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[5.58, 2.95]
JAK3 controls-expression-of BCL2L1	1	0.0	20.0	0.0	3.94	[20.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0]	[3.94]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92]
JAK2 controls-state-change-of RAF1	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
NF1 controls-state-change-of PRKCQ	2	1.5	3.5	0.16000000000000014	2.79	[2.0, 5.0]	[13.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.63, 2.95]	[2.23, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
FGFR2 controls-state-change-of FGF3	6	6.693695209341067	8.833333333333334	1.0452870419171951	2.845	[13.0, 2.0, 2.0, 4.0, 12.0, 20.0]	[0.0, 5.0, 2.0, 1.0, 14.0]	[2.23, 2.63, 3.94, 0.98, 3.35, 3.94]	[5.58, 2.95, 2.95, 4.39, 4.92]
FGFR2 controls-state-change-of FGF4	6	6.693695209341067	8.833333333333334	1.0452870419171951	2.845	[13.0, 2.0, 2.0, 4.0, 12.0, 20.0]	[0.0, 5.0, 2.0, 1.0, 14.0]	[2.23, 2.63, 3.94, 0.98, 3.35, 3.94]	[5.58, 2.95, 2.95, 4.39, 4.92]
PRKG1 controls-state-change-of AKT1	4	4.527692569068709	9.0	1.4274627841033196	2.77	[13.0, 5.0, 4.0, 14.0]	[2.0, 0.0, 2.0, 2.0, 1.0, 12.0, 20.0]	[2.23, 2.95, 0.98, 4.92]	[2.63, 5.58, 2.95, 3.94, 4.39, 3.35, 3.94]
EGFR controls-state-change-of CTNNB1	1	0.0	1.0	0.0	4.39	[1.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 4.0, 12.0, 14.0, 20.0]	[4.39]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 0.98, 3.35, 4.92, 3.94]
RB1 controls-expression-of CCNE1	7	6.8957247920840965	9.142857142857142	0.8841691591775955	3.628571428571429	[13.0, 2.0, 2.0, 1.0, 12.0, 14.0, 20.0]	[0.0, 5.0, 2.0, 4.0]	[2.23, 2.63, 3.94, 4.39, 3.35, 4.92, 3.94]	[5.58, 2.95, 2.95, 0.98]
MYC controls-expression-of E2F3	1	0.0	2.0	0.0	3.94	[2.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[3.94]	[2.23, 2.63, 5.58, 2.95, 2.95, 4.39, 0.98, 3.35, 4.92, 3.94]
POLD1 controls-state-change-of PALB2	1	0.0	2.0	0.0	2.63	[2.0]	[13.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.63]	[2.23, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
RAF1 controls-state-change-of BRAF	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
NF1 controls-expression-of ERBB2	2	1.5	3.5	0.16000000000000014	2.79	[2.0, 5.0]	[13.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.63, 2.95]	[2.23, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
CCND3 controls-state-change-of RUNX1	10	6.527633568147036	7.3	1.2871087755119999	3.4910000000000005	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.0]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[2.95]
MYC controls-state-change-of TP53	10	6.527633568147036	7.3	1.2871087755119999	3.4910000000000005	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.0]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[2.95]
VEGFA controls-state-change-of PAK1	3	4.0276819911981905	7.333333333333333	0.8138932498935117	2.0533333333333332	[13.0, 5.0, 4.0]	[2.0, 0.0, 2.0, 2.0, 1.0, 12.0, 14.0, 20.0]	[2.23, 2.95, 0.98]	[2.63, 5.58, 2.95, 3.94, 4.39, 3.35, 4.92, 3.94]
AKT1 controls-state-change-of INSR	2	0.5	0.5	0.5950000000000002	4.984999999999999	[0.0, 1.0]	[13.0, 2.0, 5.0, 2.0, 2.0, 4.0, 12.0, 14.0, 20.0]	[5.58, 4.39]	[2.23, 2.63, 2.95, 2.95, 3.94, 0.98, 3.35, 4.92, 3.94]
FOXO3 controls-expression-of CDKN1B	7	6.694499722205704	8.428571428571429	1.2690025007614347	3.3357142857142854	[13.0, 5.0, 2.0, 1.0, 4.0, 14.0, 20.0]	[2.0, 0.0, 2.0, 12.0]	[2.23, 2.95, 3.94, 4.39, 0.98, 4.92, 3.94]	[2.63, 5.58, 2.95, 3.35]
CDK4 controls-state-change-of HIST1H3B	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
PTEN controls-expression-of CCND1	1	0.0	2.0	0.0	2.95	[2.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
FBXW7 controls-expression-of RICTOR	1	0.0	4.0	0.0	0.98	[4.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 12.0, 14.0, 20.0]	[0.98]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 3.35, 4.92, 3.94]
CDK4 controls-state-change-of HIST1H3F	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
ERBB2 controls-state-change-of CDH1	2	6.0	8.0	0.9849999999999999	3.935	[2.0, 14.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 20.0]	[2.95, 4.92]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 3.94]
MYC controls-expression-of VEGFA	3	4.0276819911981905	7.333333333333333	0.8138932498935117	2.0533333333333332	[13.0, 5.0, 4.0]	[2.0, 0.0, 2.0, 2.0, 1.0, 12.0, 14.0, 20.0]	[2.23, 2.95, 0.98]	[2.63, 5.58, 2.95, 3.94, 4.39, 3.35, 4.92, 3.94]
PAK1 controls-state-change-of TP53	10	6.28410693734599	6.1	1.2012093905726844	3.2940000000000005	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 20.0]	[14.0]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 3.94]	[4.92]
MYC controls-expression-of CCNE1	7	6.8957247920840965	9.142857142857142	0.8841691591775955	3.628571428571429	[13.0, 2.0, 2.0, 1.0, 12.0, 14.0, 20.0]	[0.0, 5.0, 2.0, 4.0]	[2.23, 2.63, 3.94, 4.39, 3.35, 4.92, 3.94]	[5.58, 2.95, 2.95, 0.98]
CTNNB1 controls-state-change-of PIK3CA	1	0.0	1.0	0.0	4.39	[1.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 4.0, 12.0, 14.0, 20.0]	[4.39]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 0.98, 3.35, 4.92, 3.94]
BARD1 controls-state-change-of TP53	1	0.0	0.0	0.0	5.58	[0.0]	[13.0, 2.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[5.58]	[2.23, 2.63, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
VEGFA controls-state-change-of RAF1	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
ERBB2 controls-state-change-of FGF3	1	0.0	2.0	0.0	2.95	[2.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
ERBB2 controls-state-change-of FGF4	1	0.0	2.0	0.0	2.95	[2.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
CDKN2A controls-state-change-of MDM2	6	7.26674311886388	8.833333333333334	1.5900838552311218	3.3800000000000003	[13.0, 2.0, 0.0, 4.0, 14.0, 20.0]	[5.0, 2.0, 2.0, 1.0, 12.0]	[2.23, 2.63, 5.58, 0.98, 4.92, 3.94]	[2.95, 2.95, 3.94, 4.39, 3.35]
PIK3CA controls-state-change-of FGF3	1	0.0	2.0	0.0	2.95	[2.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
PIK3CA controls-state-change-of FGF4	1	0.0	2.0	0.0	2.95	[2.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
NTRK1 controls-state-change-of RIT1	6	4.496912521077347	6.333333333333333	0.9313431161500041	2.68	[13.0, 2.0, 5.0, 2.0, 4.0, 12.0]	[0.0, 2.0, 1.0, 14.0, 20.0]	[2.23, 2.63, 2.95, 3.94, 0.98, 3.35]	[5.58, 2.95, 4.39, 4.92, 3.94]
CD79B controls-state-change-of PRKCQ	1	0.0	1.0	0.0	4.39	[1.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 4.0, 12.0, 14.0, 20.0]	[4.39]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 0.98, 3.35, 4.92, 3.94]
CEBPA controls-expression-of KDM6A	2	4.0	9.0	0.3600000000000001	2.59	[13.0, 5.0]	[2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.23, 2.95]	[2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
STAT5A controls-expression-of RRAS	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
CDKN2A controls-state-change-of RB1	9	6.384781288248286	8.11111111111111	1.1410369985669901	3.258888888888889	[13.0, 2.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[0.0, 2.0]	[2.23, 2.63, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[5.58, 2.95]
CDH1 controls-state-change-of SRC	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
RB1 controls-expression-of MYC	9	6.384781288248286	8.11111111111111	1.1410369985669901	3.258888888888889	[13.0, 2.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[0.0, 2.0]	[2.23, 2.63, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[5.58, 2.95]
TP53 controls-expression-of MAP3K13	1	0.0	0.0	0.0	5.58	[0.0]	[13.0, 2.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[5.58]	[2.23, 2.63, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
AKT2 controls-state-change-of CTNNB1	1	0.0	1.0	0.0	4.39	[1.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 4.0, 12.0, 14.0, 20.0]	[4.39]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 0.98, 3.35, 4.92, 3.94]
MDM2 controls-state-change-of TP53	6	7.26674311886388	8.833333333333334	1.5900838552311218	3.3800000000000003	[13.0, 2.0, 0.0, 4.0, 14.0, 20.0]	[5.0, 2.0, 2.0, 1.0, 12.0]	[2.23, 2.63, 5.58, 0.98, 4.92, 3.94]	[2.95, 2.95, 3.94, 4.39, 3.35]
GH1 controls-state-change-of TP53	1	0.0	2.0	0.0	2.95	[2.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
CD79B controls-state-change-of PRKCE	1	0.0	20.0	0.0	3.94	[20.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0]	[3.94]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92]
AKT1 controls-state-change-of CHEK2	4	4.527692569068709	9.0	1.4274627841033196	2.77	[13.0, 5.0, 4.0, 14.0]	[2.0, 0.0, 2.0, 2.0, 1.0, 12.0, 20.0]	[2.23, 2.95, 0.98, 4.92]	[2.63, 5.58, 2.95, 3.94, 4.39, 3.35, 3.94]
SRC controls-state-change-of IGF1R	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
JAK2 controls-state-change-of BRAF	9	6.623937138128391	7.888888888888889	1.322573249389235	3.586666666666667	[13.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.0, 2.0]	[2.23, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[2.63, 2.95]
BRCA1 controls-expression-of MYC	1	0.0	12.0	0.0	3.35	[12.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 14.0, 20.0]	[3.35]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 4.92, 3.94]
ERBB2 controls-state-change-of JAK2	10	6.527633568147036	7.3	1.2871087755119999	3.4910000000000005	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.0]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[2.95]
CDH1 controls-state-change-of IGF1R	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
FGFR1 controls-state-change-of FGF19	2	0.5	0.5	0.5950000000000002	4.984999999999999	[0.0, 1.0]	[13.0, 2.0, 5.0, 2.0, 2.0, 4.0, 12.0, 14.0, 20.0]	[5.58, 4.39]	[2.23, 2.63, 2.95, 2.95, 3.94, 0.98, 3.35, 4.92, 3.94]
TP53 controls-state-change-of VEGFA	3	4.0276819911981905	7.333333333333333	0.8138932498935117	2.0533333333333332	[13.0, 5.0, 4.0]	[2.0, 0.0, 2.0, 2.0, 1.0, 12.0, 14.0, 20.0]	[2.23, 2.95, 0.98]	[2.63, 5.58, 2.95, 3.94, 4.39, 3.35, 4.92, 3.94]
PRKCQ controls-state-change-of BRAF	9	6.623937138128391	7.888888888888889	1.322573249389235	3.586666666666667	[13.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.0, 2.0]	[2.23, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[2.63, 2.95]
PIK3CA controls-expression-of FOXO3	9	6.623937138128391	7.888888888888889	1.322573249389235	3.586666666666667	[13.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.0, 2.0]	[2.23, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[2.63, 2.95]
RAF1 controls-state-change-of AKT2	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
AURKA controls-state-change-of AKT1	2	0.5	0.5	0.5950000000000002	4.984999999999999	[0.0, 1.0]	[13.0, 2.0, 5.0, 2.0, 2.0, 4.0, 12.0, 14.0, 20.0]	[5.58, 4.39]	[2.23, 2.63, 2.95, 2.95, 3.94, 0.98, 3.35, 4.92, 3.94]
STAT5B controls-expression-of CDK6	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
ATR controls-state-change-of BRCA1	6	6.649979114420001	7.666666666666667	1.0234812596666774	2.7783333333333338	[13.0, 2.0, 5.0, 2.0, 4.0, 20.0]	[0.0, 2.0, 1.0, 12.0, 14.0]	[2.23, 2.63, 2.95, 3.94, 0.98, 3.94]	[5.58, 2.95, 4.39, 3.35, 4.92]
CREBBP controls-expression-of TERT	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
JAK2 controls-state-change-of PIK3CA	10	6.527633568147036	7.3	1.2871087755119999	3.4910000000000005	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.0]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[2.95]
CEBPA controls-expression-of ATRX	1	0.0	12.0	0.0	3.35	[12.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 14.0, 20.0]	[3.35]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 4.92, 3.94]
PIK3CA controls-state-change-of EGFR	10	6.527633568147036	7.3	1.2871087755119999	3.4910000000000005	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.0]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[2.95]
NF1 controls-expression-of AXIN2	1	0.0	2.0	0.0	2.63	[2.0]	[13.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.63]	[2.23, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
SRC controls-state-change-of RRAS	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
STAT5A controls-state-change-of RRAS	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
FBXW7 controls-state-change-of CCNE1	1	0.0	14.0	0.0	4.92	[14.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 20.0]	[4.92]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 3.94]
GATA3 controls-expression-of ERBB2	2	0.0	2.0	0.16000000000000014	2.79	[2.0, 2.0]	[13.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.63, 2.95]	[2.23, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
PRKCQ controls-state-change-of KRAS	10	6.527633568147036	7.3	1.2871087755119999	3.4910000000000005	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.0]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[2.95]
TP53 controls-state-change-of PIK3CA	11	6.407640067893126	6.818181818181818	1.2370258921507018	3.441818181818182	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[]
AKT2 controls-state-change-of BRAF	10	6.527633568147036	7.3	1.2691575946272393	3.5230000000000006	[13.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.0]	[2.23, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[2.63]
FGFR2 controls-state-change-of AKT1	4	4.527692569068709	9.0	1.4274627841033196	2.77	[13.0, 5.0, 4.0, 14.0]	[2.0, 0.0, 2.0, 2.0, 1.0, 12.0, 20.0]	[2.23, 2.95, 0.98, 4.92]	[2.63, 5.58, 2.95, 3.94, 4.39, 3.35, 3.94]
CEBPA controls-expression-of DDR2	7	6.340668863192042	8.285714285714286	0.9684449980694383	2.8600000000000003	[13.0, 2.0, 5.0, 2.0, 4.0, 12.0, 20.0]	[0.0, 2.0, 1.0, 14.0]	[2.23, 2.63, 2.95, 3.94, 0.98, 3.35, 3.94]	[5.58, 2.95, 4.39, 4.92]
STAT5B controls-expression-of CDH1	1	0.0	5.0	0.0	2.95	[5.0]	[13.0, 2.0, 0.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
