GeneA	edgeType	GeneB	relation_sif	count
CDKN2A	controls-state-change-of	CCND1	CDKN2A controls-state-change-of CCND1	5
CDKN2A	controls-state-change-of	CCND3	CDKN2A controls-state-change-of CCND3	2
KIT	controls-state-change-of	FGFR2	KIT controls-state-change-of FGFR2	9
KIT	controls-state-change-of	FGFR4	KIT controls-state-change-of FGFR4	1
PDGFRA	controls-state-change-of	AKT1	PDGFRA controls-state-change-of AKT1	8
CDKN2B	controls-state-change-of	CCND1	CDKN2B controls-state-change-of CCND1	4
PDGFRA	controls-state-change-of	AKT2	PDGFRA controls-state-change-of AKT2	9
CDKN2B	controls-state-change-of	CCND3	CDKN2B controls-state-change-of CCND3	2
MTOR	controls-state-change-of	MYC	MTOR controls-state-change-of MYC	1
RB1	controls-state-change-of	HIST1H4A	RB1 controls-state-change-of HIST1H4A	1
RB1	controls-state-change-of	HIST1H4B	RB1 controls-state-change-of HIST1H4B	1
MYC	controls-expression-of	FGF19	MYC controls-expression-of FGF19	12
ESR1	controls-state-change-of	GNA11	ESR1 controls-state-change-of GNA11	1
CDH1	controls-state-change-of	PIK3CA	CDH1 controls-state-change-of PIK3CA	5
KCNQ1	controls-state-change-of	EP300	KCNQ1 controls-state-change-of EP300	1
EP300	controls-expression-of	CCNE1	EP300 controls-expression-of CCNE1	1
ERBB2	controls-state-change-of	PIK3R1	ERBB2 controls-state-change-of PIK3R1	13
RPS6KB2	controls-state-change-of	AKT1	RPS6KB2 controls-state-change-of AKT1	1
RPS6KB2	controls-state-change-of	AKT2	RPS6KB2 controls-state-change-of AKT2	1
PIK3R1	controls-state-change-of	RHOA	PIK3R1 controls-state-change-of RHOA	1
EGFR	controls-state-change-of	ERBB2	EGFR controls-state-change-of ERBB2	12
PIK3CA	controls-expression-of	MSH6	PIK3CA controls-expression-of MSH6	1
KRAS	controls-state-change-of	AKT2	KRAS controls-state-change-of AKT2	2
RUNX1	controls-expression-of	PIK3R1	RUNX1 controls-expression-of PIK3R1	2
FGFR4	controls-state-change-of	FGFR1	FGFR4 controls-state-change-of FGFR1	3
TP53	controls-expression-of	PTEN	TP53 controls-expression-of PTEN	12
RB1	controls-expression-of	PRKDC	RB1 controls-expression-of PRKDC	4
SMARCA4	controls-expression-of	MYC	SMARCA4 controls-expression-of MYC	1
NOTCH1	controls-state-change-of	RB1	NOTCH1 controls-state-change-of RB1	1
BRCA1	controls-state-change-of	TP53	BRCA1 controls-state-change-of TP53	11
FGFR2	controls-state-change-of	RHOA	FGFR2 controls-state-change-of RHOA	1
KRAS	controls-state-change-of	PIK3R1	KRAS controls-state-change-of PIK3R1	1
EPHA3	controls-state-change-of	PIK3R1	EPHA3 controls-state-change-of PIK3R1	3
EPHA3	controls-state-change-of	PIK3R2	EPHA3 controls-state-change-of PIK3R2	1
RUNX1	controls-state-change-of	HIST1H3B	RUNX1 controls-state-change-of HIST1H3B	1
MYC	controls-state-change-of	HIST1H3F	MYC controls-state-change-of HIST1H3F	2
HIST1H3F	controls-expression-of	MYC	HIST1H3F controls-expression-of MYC	2
FGFR2	controls-state-change-of	FGF19	FGFR2 controls-state-change-of FGF19	10
RUNX1	controls-state-change-of	HIST1H3F	RUNX1 controls-state-change-of HIST1H3F	3
KIT	controls-state-change-of	KRAS	KIT controls-state-change-of KRAS	1
NTRK1	controls-state-change-of	PIK3CA	NTRK1 controls-state-change-of PIK3CA	1
CDKN2A	controls-state-change-of	TP53	CDKN2A controls-state-change-of TP53	7
MYC	controls-expression-of	TERT	MYC controls-expression-of TERT	6
MDM4	controls-expression-of	TP53	MDM4 controls-expression-of TP53	1
AKT1	controls-expression-of	CCND1	AKT1 controls-expression-of CCND1	2
CDK6	controls-state-change-of	CDKN1B	CDK6 controls-state-change-of CDKN1B	1
FGFR2	controls-state-change-of	FGFR1	FGFR2 controls-state-change-of FGFR1	10
PIK3CA	controls-expression-of	NSD3	PIK3CA controls-expression-of NSD3	3
EP300	controls-expression-of	CCND1	EP300 controls-expression-of CCND1	1
AR	controls-state-change-of	TP53	AR controls-state-change-of TP53	1
IGF1R	controls-expression-of	MAP3K1	IGF1R controls-expression-of MAP3K1	3
ATM	controls-state-change-of	PRKDC	ATM controls-state-change-of PRKDC	1
NOTCH1	controls-state-change-of	EGFR	NOTCH1 controls-state-change-of EGFR	4
TSC2	controls-state-change-of	MTOR	TSC2 controls-state-change-of MTOR	1
ESR1	controls-expression-of	RET	ESR1 controls-expression-of RET	2
CEBPA	controls-expression-of	ETV6	CEBPA controls-expression-of ETV6	2
ESR1	controls-state-change-of	IGF1R	ESR1 controls-state-change-of IGF1R	3
FGF19	controls-state-change-of	FGF4	FGF19 controls-state-change-of FGF4	2
FGF19	controls-state-change-of	FGF3	FGF19 controls-state-change-of FGF3	1
NTRK1	controls-state-change-of	AKT1	NTRK1 controls-state-change-of AKT1	1
ESR1	controls-expression-of	FOXA1	ESR1 controls-expression-of FOXA1	5
FOXA1	controls-expression-of	CCND1	FOXA1 controls-expression-of CCND1	3
CBFB	controls-state-change-of	HIST1H3F	CBFB controls-state-change-of HIST1H3F	3
TCF3	controls-expression-of	KIT	TCF3 controls-expression-of KIT	1
EP300	controls-expression-of	TERT	EP300 controls-expression-of TERT	1
TP53	controls-expression-of	CDKN2A	TP53 controls-expression-of CDKN2A	7
PDGFRA	controls-state-change-of	KRAS	PDGFRA controls-state-change-of KRAS	2
CBFB	controls-state-change-of	HIST1H3B	CBFB controls-state-change-of HIST1H3B	1
TP53	controls-expression-of	NUP93	TP53 controls-expression-of NUP93	2
KDR	controls-state-change-of	AKT2	KDR controls-state-change-of AKT2	9
AKT2	controls-state-change-of	MDM2	AKT2 controls-state-change-of MDM2	5
SIRT1	controls-state-change-of	RB1	SIRT1 controls-state-change-of RB1	1
NCOR1	controls-state-change-of	HIST2H3D	NCOR1 controls-state-change-of HIST2H3D	1
AKT2	controls-state-change-of	MDM4	AKT2 controls-state-change-of MDM4	8
ATM	controls-expression-of	ATR	ATM controls-expression-of ATR	1
PIK3CA	controls-expression-of	RICTOR	PIK3CA controls-expression-of RICTOR	2
TP53	controls-state-change-of	KDR	TP53 controls-state-change-of KDR	1
YES1	controls-state-change-of	FGF19	YES1 controls-state-change-of FGF19	1
ERBB2	controls-state-change-of	SYK	ERBB2 controls-state-change-of SYK	6
BRCA1	controls-expression-of	ATR	BRCA1 controls-expression-of ATR	3
FGF4	controls-state-change-of	CD79B	FGF4 controls-state-change-of CD79B	1
CCND1	controls-state-change-of	ESR1	CCND1 controls-state-change-of ESR1	12
SYK	controls-state-change-of	PIK3CA	SYK controls-state-change-of PIK3CA	6
EP300	controls-state-change-of	TP53	EP300 controls-state-change-of TP53	1
RB1	controls-expression-of	SP3	RB1 controls-expression-of SP3	1
KDM5C	controls-state-change-of	HIST1H3F	KDM5C controls-state-change-of HIST1H3F	1
ERBB2	controls-state-change-of	RHOA	ERBB2 controls-state-change-of RHOA	2
AKT1	controls-state-change-of	RARA	AKT1 controls-state-change-of RARA	4
KDM5C	controls-state-change-of	HIST1H3B	KDM5C controls-state-change-of HIST1H3B	1
FGF3	controls-state-change-of	CD79B	FGF3 controls-state-change-of CD79B	1
TP53	controls-expression-of	MDM4	TP53 controls-expression-of MDM4	1
PARP1	controls-expression-of	BRCA1	PARP1 controls-expression-of BRCA1	1
CREBBP	controls-state-change-of	HIST1H3F	CREBBP controls-state-change-of HIST1H3F	1
TP53	controls-expression-of	MDM2	TP53 controls-expression-of MDM2	4
PAK1	controls-state-change-of	NF2	PAK1 controls-state-change-of NF2	9
E2F1	controls-expression-of	RB1	E2F1 controls-expression-of RB1	1
ABL1	controls-state-change-of	RB1	ABL1 controls-state-change-of RB1	1
TP53	controls-expression-of	DNMT1	TP53 controls-expression-of DNMT1	1
FGFR1	controls-state-change-of	RHOA	FGFR1 controls-state-change-of RHOA	1
RB1	controls-expression-of	CDK1	RB1 controls-expression-of CDK1	1
BRCA1	controls-expression-of	ATM	BRCA1 controls-expression-of ATM	1
IGF1R	controls-state-change-of	PIK3R1	IGF1R controls-state-change-of PIK3R1	4
MAP3K1	controls-state-change-of	AKT1	MAP3K1 controls-state-change-of AKT1	5
MAP3K1	controls-state-change-of	AKT3	MAP3K1 controls-state-change-of AKT3	1
MAP3K1	controls-state-change-of	AKT2	MAP3K1 controls-state-change-of AKT2	2
PARP1	controls-expression-of	CDKN2A	PARP1 controls-expression-of CDKN2A	1
PIK3CA	controls-state-change-of	IL7R	PIK3CA controls-state-change-of IL7R	1
TCF3	controls-expression-of	PDGFRA	TCF3 controls-expression-of PDGFRA	1
TP53	controls-expression-of	PRDM1	TP53 controls-expression-of PRDM1	13
MRE11	controls-state-change-of	TP53	MRE11 controls-state-change-of TP53	1
MAP2K4	controls-expression-of	TP53	MAP2K4 controls-expression-of TP53	2
ERBB2	controls-state-change-of	PLCG2	ERBB2 controls-state-change-of PLCG2	1
EGFR	controls-state-change-of	FGF19	EGFR controls-state-change-of FGF19	10
KDR	controls-state-change-of	PIK3R1	KDR controls-state-change-of PIK3R1	2
AKT1	controls-expression-of	TERT	AKT1 controls-expression-of TERT	5
CDK6	controls-state-change-of	RB1	CDK6 controls-state-change-of RB1	1
ERBB2	controls-state-change-of	CD79B	ERBB2 controls-state-change-of CD79B	1
MDC1	controls-state-change-of	BRCA1	MDC1 controls-state-change-of BRCA1	2
ATR	controls-expression-of	MDC1	ATR controls-expression-of MDC1	2
ALK	controls-state-change-of	AKT3	ALK controls-state-change-of AKT3	1
PDGFRA	controls-state-change-of	FGFR2	PDGFRA controls-state-change-of FGFR2	2
TCF3	controls-expression-of	ESR1	TCF3 controls-expression-of ESR1	1
GATA3	controls-expression-of	CCND1	GATA3 controls-expression-of CCND1	2
PDGFRA	controls-state-change-of	FGFR4	PDGFRA controls-state-change-of FGFR4	8
PDGFRA	controls-state-change-of	FGFR1	PDGFRA controls-state-change-of FGFR1	5
PDGFRA	controls-state-change-of	FGF19	PDGFRA controls-state-change-of FGF19	3
RB1	controls-state-change-of	RBL1	RB1 controls-state-change-of RBL1	1
KIT	controls-state-change-of	PLCG2	KIT controls-state-change-of PLCG2	1
KIT	controls-state-change-of	PIK3CA	KIT controls-state-change-of PIK3CA	12
FOXA1	controls-expression-of	CDH1	FOXA1 controls-expression-of CDH1	4
ALK	controls-state-change-of	AKT1	ALK controls-state-change-of AKT1	1
KDR	controls-state-change-of	AKT1	KDR controls-state-change-of AKT1	8
TCF3	controls-expression-of	PIK3R1	TCF3 controls-expression-of PIK3R1	1
GLI3	controls-expression-of	GLI1	GLI3 controls-expression-of GLI1	1
NCOR1	controls-state-change-of	HIST1H3B	NCOR1 controls-state-change-of HIST1H3B	1
FGFR4	controls-state-change-of	FYN	FGFR4 controls-state-change-of FYN	1
EGFR	controls-state-change-of	FGFR2	EGFR controls-state-change-of FGFR2	9
AKT1	controls-state-change-of	TERT	AKT1 controls-state-change-of TERT	5
NCOR1	controls-state-change-of	HIST1H3F	NCOR1 controls-state-change-of HIST1H3F	2
CCND2	controls-state-change-of	RUNX1	CCND2 controls-state-change-of RUNX1	1
ATR	controls-expression-of	BRCA1	ATR controls-expression-of BRCA1	3
EGFR	controls-state-change-of	FGFR1	EGFR controls-state-change-of FGFR1	7
ESR1	controls-expression-of	CCND1	ESR1 controls-expression-of CCND1	12
AKT3	controls-state-change-of	TP53	AKT3 controls-state-change-of TP53	1
POLE	controls-state-change-of	BRIP1	POLE controls-state-change-of BRIP1	1
PRKN	controls-expression-of	TP53	PRKN controls-expression-of TP53	1
ATM	controls-state-change-of	PBRM1	ATM controls-state-change-of PBRM1	1
AKT3	controls-state-change-of	MAP3K1	AKT3 controls-state-change-of MAP3K1	1
RB1	controls-state-change-of	CCNA2	RB1 controls-state-change-of CCNA2	1
PIK3CA	controls-expression-of	CCND3	PIK3CA controls-expression-of CCND3	6
ESR1	controls-expression-of	FGFR2	ESR1 controls-expression-of FGFR2	12
PIK3CA	controls-expression-of	CCND1	PIK3CA controls-expression-of CCND1	13
TP53	controls-expression-of	PRKDC	TP53 controls-expression-of PRKDC	5
BARD1	controls-state-change-of	MDC1	BARD1 controls-state-change-of MDC1	1
ESR1	controls-state-change-of	AR	ESR1 controls-state-change-of AR	1
RHOA	controls-state-change-of	PIK3R1	RHOA controls-state-change-of PIK3R1	1
PIK3CA	controls-expression-of	ARID5B	PIK3CA controls-expression-of ARID5B	1
AKT1	controls-state-change-of	MAP2K4	AKT1 controls-state-change-of MAP2K4	1
CDK1	controls-state-change-of	RB1	CDK1 controls-state-change-of RB1	1
NF1	controls-state-change-of	AKT3	NF1 controls-state-change-of AKT3	1
FGFR1	controls-state-change-of	SYK	FGFR1 controls-state-change-of SYK	5
RET	controls-state-change-of	AKT1	RET controls-state-change-of AKT1	1
AKT2	controls-state-change-of	TSC2	AKT2 controls-state-change-of TSC2	1
MAP2K4	controls-state-change-of	AKT1	MAP2K4 controls-state-change-of AKT1	1
FGF4	controls-state-change-of	FGFR4	FGF4 controls-state-change-of FGFR4	1
NF1	controls-state-change-of	AKT1	NF1 controls-state-change-of AKT1	6
PIK3CA	controls-state-change-of	PARP1	PIK3CA controls-state-change-of PARP1	1
HNF1A	controls-expression-of	FGFR4	HNF1A controls-expression-of FGFR4	1
TP53	controls-expression-of	NSD3	TP53 controls-expression-of NSD3	3
ATR	controls-state-change-of	MDC1	ATR controls-state-change-of MDC1	2
IGF1R	controls-state-change-of	ESR1	IGF1R controls-state-change-of ESR1	3
AR	controls-expression-of	KMT2C	AR controls-expression-of KMT2C	1
PTEN	controls-state-change-of	AKT1	PTEN controls-state-change-of AKT1	2
PARP1	controls-expression-of	TP53	PARP1 controls-expression-of TP53	1
EGFR	controls-state-change-of	AKT3	EGFR controls-state-change-of AKT3	1
PTEN	controls-state-change-of	AKT2	PTEN controls-state-change-of AKT2	2
PTEN	controls-state-change-of	AKT3	PTEN controls-state-change-of AKT3	1
YES1	controls-state-change-of	EGFR	YES1 controls-state-change-of EGFR	1
EGFR	controls-state-change-of	AKT2	EGFR controls-state-change-of AKT2	2
RET	controls-state-change-of	PIK3CA	RET controls-state-change-of PIK3CA	2
PIK3R1	controls-state-change-of	CD79B	PIK3R1 controls-state-change-of CD79B	1
NTRK3	controls-state-change-of	CD79B	NTRK3 controls-state-change-of CD79B	1
YES1	controls-state-change-of	FYN	YES1 controls-state-change-of FYN	1
JAK2	controls-state-change-of	PIK3R1	JAK2 controls-state-change-of PIK3R1	11
TP53	controls-expression-of	EGFR	TP53 controls-expression-of EGFR	10
PAK1	controls-state-change-of	AKT1	PAK1 controls-state-change-of AKT1	9
JAK2	controls-state-change-of	PIK3R2	JAK2 controls-state-change-of PIK3R2	2
PAK1	controls-state-change-of	AKT2	PAK1 controls-state-change-of AKT2	8
PDGFRA	controls-state-change-of	FGF4	PDGFRA controls-state-change-of FGF4	1
PIK3R1	controls-state-change-of	PLCG2	PIK3R1 controls-state-change-of PLCG2	1
EGFR	controls-state-change-of	KRAS	EGFR controls-state-change-of KRAS	1
ESR1	controls-expression-of	EGFR	ESR1 controls-expression-of EGFR	9
ATM	controls-state-change-of	BARD1	ATM controls-state-change-of BARD1	1
KIT	controls-state-change-of	JAK2	KIT controls-state-change-of JAK2	11
CCND1	controls-state-change-of	RB1	CCND1 controls-state-change-of RB1	8
CDK6	controls-state-change-of	AKT1	CDK6 controls-state-change-of AKT1	1
PRKN	controls-state-change-of	TP53	PRKN controls-state-change-of TP53	1
NF1	controls-expression-of	FLT4	NF1 controls-expression-of FLT4	1
AKT1	controls-state-change-of	AKT2	AKT1 controls-state-change-of AKT2	9
MDM2	controls-state-change-of	AR	MDM2 controls-state-change-of AR	1
NSD3	controls-state-change-of	HIST1H3F	NSD3 controls-state-change-of HIST1H3F	1
HNF1A	controls-expression-of	YES1	HNF1A controls-expression-of YES1	1
TP53	controls-state-change-of	AR	TP53 controls-state-change-of AR	1
AKT1	controls-state-change-of	MAP3K1	AKT1 controls-state-change-of MAP3K1	5
RB1	controls-expression-of	E2F1	RB1 controls-expression-of E2F1	1
NSD3	controls-state-change-of	HIST1H3B	NSD3 controls-state-change-of HIST1H3B	1
CDK5	controls-state-change-of	RB1	CDK5 controls-state-change-of RB1	1
ERBB2	controls-expression-of	CCND1	ERBB2 controls-expression-of CCND1	13
AURKA	controls-state-change-of	TP53	AURKA controls-state-change-of TP53	1
NUP93	controls-state-change-of	MDM2	NUP93 controls-state-change-of MDM2	1
PRKAR1A	controls-state-change-of	AKT1	PRKAR1A controls-state-change-of AKT1	6
MYD88	controls-state-change-of	FGFR2	MYD88 controls-state-change-of FGFR2	1
PRKAR1A	controls-state-change-of	AKT2	PRKAR1A controls-state-change-of AKT2	2
EP300	controls-expression-of	TP53	EP300 controls-expression-of TP53	1
ARID5B	controls-state-change-of	HIST1H3F	ARID5B controls-state-change-of HIST1H3F	1
SYK	controls-state-change-of	RHOA	SYK controls-state-change-of RHOA	1
MYD88	controls-state-change-of	FGFR1	MYD88 controls-state-change-of FGFR1	1
CCNE1	controls-state-change-of	RB1	CCNE1 controls-state-change-of RB1	10
PDGFRA	controls-state-change-of	PIK3CA	PDGFRA controls-state-change-of PIK3CA	2
CDKN1B	controls-state-change-of	RB1	CDKN1B controls-state-change-of RB1	1
FOXA1	controls-expression-of	BRCA1	FOXA1 controls-expression-of BRCA1	3
BRIP1	controls-state-change-of	TP53	BRIP1 controls-state-change-of TP53	2
NF1	controls-expression-of	EPHA3	NF1 controls-expression-of EPHA3	1
RB1	controls-state-change-of	ATF2	RB1 controls-state-change-of ATF2	1
FGFR2	controls-state-change-of	PTEN	FGFR2 controls-state-change-of PTEN	10
TP53	controls-expression-of	PPM1D	TP53 controls-expression-of PPM1D	2
JAK2	controls-state-change-of	HIST1H3F	JAK2 controls-state-change-of HIST1H3F	2
NF2	controls-state-change-of	PAK1	NF2 controls-state-change-of PAK1	9
TCF3	controls-expression-of	FOXP1	TCF3 controls-expression-of FOXP1	1
JAK2	controls-state-change-of	RHOA	JAK2 controls-state-change-of RHOA	1
JAK2	controls-state-change-of	HIST1H3B	JAK2 controls-state-change-of HIST1H3B	1
PIK3R1	controls-state-change-of	FGFR1	PIK3R1 controls-state-change-of FGFR1	7
PIK3R1	controls-state-change-of	FGFR2	PIK3R1 controls-state-change-of FGFR2	9
PIK3CA	controls-state-change-of	RB1	PIK3CA controls-state-change-of RB1	10
AKT1	controls-expression-of	MYC	AKT1 controls-expression-of MYC	4
PIK3R1	controls-state-change-of	PIK3CA	PIK3R1 controls-state-change-of PIK3CA	14
PIK3R1	controls-state-change-of	FGF19	PIK3R1 controls-state-change-of FGF19	10
NOTCH2	controls-expression-of	GLI1	NOTCH2 controls-expression-of GLI1	1
KIT	controls-state-change-of	AKT3	KIT controls-state-change-of AKT3	1
FGF3	controls-state-change-of	FGF19	FGF3 controls-state-change-of FGF19	1
PLCG2	controls-state-change-of	AKT3	PLCG2 controls-state-change-of AKT3	1
KIT	controls-state-change-of	AKT2	KIT controls-state-change-of AKT2	2
MYC	controls-expression-of	KIT	MYC controls-expression-of KIT	12
BRCA1	controls-state-change-of	PARP1	BRCA1 controls-state-change-of PARP1	1
EGFR	controls-state-change-of	PLCG2	EGFR controls-state-change-of PLCG2	1
EGFR	controls-state-change-of	PIK3CA	EGFR controls-state-change-of PIK3CA	12
CEBPA	controls-expression-of	PDGFRA	CEBPA controls-expression-of PDGFRA	1
PIK3CA	controls-state-change-of	RHOA	PIK3CA controls-state-change-of RHOA	2
AR	controls-state-change-of	HIST1H3F	AR controls-state-change-of HIST1H3F	1
KRAS	controls-state-change-of	AKT1	KRAS controls-state-change-of AKT1	3
KRAS	controls-state-change-of	PIK3CA	KRAS controls-state-change-of PIK3CA	1
PPM1D	controls-state-change-of	MDM2	PPM1D controls-state-change-of MDM2	2
FOXA1	controls-expression-of	SOX17	FOXA1 controls-expression-of SOX17	4
HIST1H4B	controls-state-change-of	HIST1H3B	HIST1H4B controls-state-change-of HIST1H3B	1
HIST1H3B	controls-state-change-of	HIST1H4B	HIST1H3B controls-state-change-of HIST1H4B	1
TP53	controls-expression-of	TERT	TP53 controls-expression-of TERT	5
CCND1	controls-expression-of	ESR1	CCND1 controls-expression-of ESR1	12
MYC	controls-state-change-of	HIST2H3D	MYC controls-state-change-of HIST2H3D	1
PDGFRA	controls-state-change-of	JAK2	PDGFRA controls-state-change-of JAK2	3
AR	controls-expression-of	TP53	AR controls-expression-of TP53	1
EPHA3	controls-state-change-of	PIK3CA	EPHA3 controls-state-change-of PIK3CA	3
ESR1	controls-state-change-of	AKT1	ESR1 controls-state-change-of AKT1	8
ESR1	controls-state-change-of	AKT2	ESR1 controls-state-change-of AKT2	2
HIST1H4B	controls-state-change-of	HIST1H3F	HIST1H4B controls-state-change-of HIST1H3F	1
EGFR	controls-expression-of	MYC	EGFR controls-expression-of MYC	12
MYD88	controls-state-change-of	AKT1	MYD88 controls-state-change-of AKT1	1
GLI3	controls-state-change-of	GLI1	GLI3 controls-state-change-of GLI1	1
YES1	controls-state-change-of	JAK2	YES1 controls-state-change-of JAK2	2
RET	controls-state-change-of	KRAS	RET controls-state-change-of KRAS	1
JAK2	controls-state-change-of	FGF19	JAK2 controls-state-change-of FGF19	9
PAK1	controls-state-change-of	KRAS	PAK1 controls-state-change-of KRAS	3
EP300	controls-expression-of	PTEN	EP300 controls-expression-of PTEN	1
NF1	controls-state-change-of	KRAS	NF1 controls-state-change-of KRAS	1
JAK2	controls-state-change-of	CCND3	JAK2 controls-state-change-of CCND3	7
PTEN	controls-expression-of	MTOR	PTEN controls-expression-of MTOR	1
PIK3R1	controls-state-change-of	AKT2	PIK3R1 controls-state-change-of AKT2	2
EP300	controls-state-change-of	HIST1H3F	EP300 controls-state-change-of HIST1H3F	1
PIK3R2	controls-state-change-of	FGFR2	PIK3R2 controls-state-change-of FGFR2	1
TP53	controls-state-change-of	PIK3R1	TP53 controls-state-change-of PIK3R1	12
JAK2	controls-state-change-of	FGFR2	JAK2 controls-state-change-of FGFR2	9
PIK3R1	controls-state-change-of	AKT1	PIK3R1 controls-state-change-of AKT1	2
JAK2	controls-state-change-of	FGFR4	JAK2 controls-state-change-of FGFR4	2
ESR1	controls-expression-of	AXIN2	ESR1 controls-expression-of AXIN2	3
AKT2	controls-state-change-of	TP53	AKT2 controls-state-change-of TP53	2
CCNA2	controls-state-change-of	RB1	CCNA2 controls-state-change-of RB1	1
PIK3R2	controls-state-change-of	FGF19	PIK3R2 controls-state-change-of FGF19	1
CCND3	controls-state-change-of	RB1	CCND3 controls-state-change-of RB1	7
FLT3	controls-state-change-of	FGFR4	FLT3 controls-state-change-of FGFR4	1
ESR1	controls-expression-of	ZFHX3	ESR1 controls-expression-of ZFHX3	1
ATM	controls-expression-of	TP53	ATM controls-expression-of TP53	2
SETD2	controls-state-change-of	HIST1H3F	SETD2 controls-state-change-of HIST1H3F	3
JAK2	controls-state-change-of	FGFR1	JAK2 controls-state-change-of FGFR1	9
PRKDC	controls-state-change-of	TP53	PRKDC controls-state-change-of TP53	5
PIK3R1	controls-state-change-of	AKT3	PIK3R1 controls-state-change-of AKT3	1
MYC	controls-expression-of	CDKN2B	MYC controls-expression-of CDKN2B	4
CDKN1B	controls-state-change-of	CDK6	CDKN1B controls-state-change-of CDK6	1
FGF19	controls-state-change-of	AKT3	FGF19 controls-state-change-of AKT3	1
FGF19	controls-state-change-of	AKT2	FGF19 controls-state-change-of AKT2	3
AKT1	controls-state-change-of	NF2	AKT1 controls-state-change-of NF2	12
NCOR1	controls-expression-of	MYC	NCOR1 controls-expression-of MYC	1
TP53	controls-expression-of	PIK3R2	TP53 controls-expression-of PIK3R2	2
FGF19	controls-state-change-of	AKT1	FGF19 controls-state-change-of AKT1	3
CDH1	controls-state-change-of	RHOA	CDH1 controls-state-change-of RHOA	2
FGFR4	controls-state-change-of	KRAS	FGFR4 controls-state-change-of KRAS	3
ERBB2	controls-state-change-of	FGFR2	ERBB2 controls-state-change-of FGFR2	13
JAK2	controls-state-change-of	CCND2	JAK2 controls-state-change-of CCND2	2
ERBB2	controls-state-change-of	FGFR1	ERBB2 controls-state-change-of FGFR1	12
JAK2	controls-state-change-of	CCND1	JAK2 controls-state-change-of CCND1	10
RB1	controls-expression-of	HIST1H4A	RB1 controls-expression-of HIST1H4A	1
ERBB2	controls-state-change-of	FGF19	ERBB2 controls-state-change-of FGF19	13
RAD50	controls-state-change-of	TP53	RAD50 controls-state-change-of TP53	1
TP53	controls-state-change-of	ALK	TP53 controls-state-change-of ALK	3
MYC	controls-expression-of	NSD3	MYC controls-expression-of NSD3	4
IGF1R	controls-expression-of	MYC	IGF1R controls-expression-of MYC	4
CDK3	controls-state-change-of	RB1	CDK3 controls-state-change-of RB1	1
