Patient	Type	Gene	Cytoband	Samples with alteration in altered group	Samples with alteration in unaltered group	Log Ratio	p-Value	q-Value	Tendency
P-0015603	MUT	PTPRS	19p13.3	16 (1.41%)	4 (0.30%)	2.25	1.804E-03	0.0133	Co-occurrence
P-0015603	MUT	SOS1	2p22.1	16 (1.41%)	4 (0.30%)	2.25	1.804E-03	0.0133	Co-occurrence
P-0015603	MUT	DNMT3B	20q11.21	8 (0.71%)	0 (0.00%)	>10	1.876E-03	0.0133	Co-occurrence
P-0015603	MUT	ERRFI1	1p36.23	8 (0.71%)	0 (0.00%)	>10	1.876E-03	0.0133	Co-occurrence
P-0015603	MUT	PAK5	20p12.2	8 (0.71%)	0 (0.00%)	>10	1.876E-03	0.0133	Co-occurrence
P-0015603	MUT	RAD51C	17q22	8 (0.71%)	0 (0.00%)	>10	1.876E-03	0.0133	Co-occurrence
P-0015603	MUT	RPS6KA4	11q13.1	8 (0.71%)	0 (0.00%)	>10	1.876E-03	0.0133	Co-occurrence
P-0015603	MUT	SHQ1	3p13	8 (0.71%)	0 (0.00%)	>10	1.876E-03	0.0133	Co-occurrence
P-0015603	MUT	TEK	9p21.2	8 (0.71%)	0 (0.00%)	>10	1.876E-03	0.0133	Co-occurrence
P-0015603	MUT	TRAF2	9q34.3	8 (0.71%)	0 (0.00%)	>10	1.876E-03	0.0133	Co-occurrence
P-0015603	MUT	YES1	18p11.32	8 (0.71%)	0 (0.00%)	>10	1.876E-03	0.0133	Co-occurrence
P-0015603	MUT	BCL6	3q27.3	19 (1.68%)	6 (0.45%)	1.91	1.964E-03	0.0138	Co-occurrence
P-0015603	MUT	NCOR1	17p12-p11.2	14 (1.24%)	3 (0.22%)	2.47	2.172E-03	0.0151	Co-occurrence
P-0015603	MUT	NOTCH1	9q34.3	75 (6.63%)	54 (4.02%)	0.72	2.414E-03	0.0159	Co-occurrence
P-0015603	MUT	EED	11q14.2	12 (1.06%)	2 (0.15%)	2.83	2.471E-03	0.0159	Co-occurrence
P-0015603	MUT	AMER1	Xq11.2	10 (0.88%)	1 (0.07%)	3.57	2.507E-03	0.0159	Co-occurrence
P-0015603	MUT	BARD1	2q35	10 (0.88%)	1 (0.07%)	3.57	2.507E-03	0.0159	Co-occurrence
P-0015603	MUT	CTCF	16q22.1	10 (0.88%)	1 (0.07%)	3.57	2.507E-03	0.0159	Co-occurrence
P-0015603	MUT	GATA2	3q21.3	10 (0.88%)	1 (0.07%)	3.57	2.507E-03	0.0159	Co-occurrence
P-0015603	MUT	HOXB13	17q21.32	10 (0.88%)	1 (0.07%)	3.57	2.507E-03	0.0159	Co-occurrence
P-0015603	MUT	LATS2	13q12.11	10 (0.88%)	1 (0.07%)	3.57	2.507E-03	0.0159	Co-occurrence
P-0015603	MUT	MDC1	6p21.33	10 (0.88%)	1 (0.07%)	3.57	2.507E-03	0.0159	Co-occurrence
P-0015603	MUT	STAT5B	17q21.2	10 (0.88%)	1 (0.07%)	3.57	2.507E-03	0.0159	Co-occurrence
P-0015603	MUT	RAD50	5q31.1	17 (1.50%)	5 (0.37%)	2.01	2.534E-03	0.0159	Co-occurrence
P-0015603	MUT	EPHA3	3p11.1	24 (2.12%)	10 (0.74%)	1.51	2.779E-03	0.0173	Co-occurrence
P-0015603	MUT	CDKN2C	1p32.3	21 (1.86%)	8 (0.60%)	1.64	3.129E-03	0.0193	Co-occurrence
P-0015603	MUT	COP1	1q25.1-q25.2	15 (1.33%)	4 (0.30%)	2.16	3.218E-03	0.0196	Co-occurrence
P-0015603	MUT	IKZF1	7p12.2	25 (2.21%)	11 (0.82%)	1.43	3.242E-03	0.0196	Co-occurrence
P-0015603	MUT	PLCG2	16q23.3	18 (1.59%)	6 (0.45%)	1.83	3.337E-03	0.0197	Co-occurrence
P-0015603	MUT	SLX4	16p13.3	18 (1.59%)	6 (0.45%)	1.83	3.337E-03	0.0197	Co-occurrence
P-0015603	MUT	TET1	10q21.3	18 (1.59%)	6 (0.45%)	1.83	3.337E-03	0.0197	Co-occurrence
P-0015603	MUT	CXCR4	2q22.1	7 (0.62%)	0 (0.00%)	>10	4.119E-03	0.0237	Co-occurrence
P-0015603	MUT	INPP4A	2q11.2	7 (0.62%)	0 (0.00%)	>10	4.119E-03	0.0237	Co-occurrence
P-0015603	MUT	SLITRK6	13q31.1	7 (0.62%)	0 (0.00%)	>10	4.119E-03	0.0237	Co-occurrence
P-0015603	MUT	KDM5C	Xp11.22	16 (1.41%)	5 (0.37%)	1.93	4.375E-03	0.0249	Co-occurrence
P-0015603	MUT	INPP4B	4q31.21	11 (0.97%)	2 (0.15%)	2.71	4.706E-03	0.0262	Co-occurrence
P-0015603	MUT	PGR	11q22.1	11 (0.97%)	2 (0.15%)	2.71	4.706E-03	0.0262	Co-occurrence
P-0015603	MUT	SOX17	8q11.23	11 (0.97%)	2 (0.15%)	2.71	4.706E-03	0.0262	Co-occurrence
P-0015603	MUT	SMARCA4	19p13.2	41 (3.63%)	25 (1.86%)	0.96	4.826E-03	0.0266	Co-occurrence
P-0015603	MUT	DDB2	11p11.2	9 (0.80%)	1 (0.07%)	3.42	5.043E-03	0.0268	Co-occurrence
P-0015603	MUT	KMT2B	19q13.12	9 (0.80%)	1 (0.07%)	3.42	5.043E-03	0.0268	Co-occurrence
P-0015603	MUT	POLQ	3q13.33	9 (0.80%)	1 (0.07%)	3.42	5.043E-03	0.0268	Co-occurrence
P-0015603	MUT	PPP2R1A	19q13.41	9 (0.80%)	1 (0.07%)	3.42	5.043E-03	0.0268	Co-occurrence
P-0015603	MUT	SMARCD1	12q13.12	9 (0.80%)	1 (0.07%)	3.42	5.043E-03	0.0268	Co-occurrence
P-0015603	MUT	ROS1	6q22.1	44 (3.89%)	28 (2.08%)	0.9	5.51E-03	0.029	Co-occurrence
P-0015603	MUT	PDGFRB	5q32	21 (1.86%)	9 (0.67%)	1.47	5.983E-03	0.0313	Co-occurrence
P-0015603	MUT	BRCA1	17q21.31	31 (2.74%)	17 (1.26%)	1.12	6.086E-03	0.0316	Co-occurrence
P-0015603	MUT	ALK	2p23.2-p23.1	32 (2.83%)	18 (1.34%)	1.08	6.542E-03	0.0337	Co-occurrence
P-0015603	MUT	PTPRD	9p24.1-p23	22 (1.95%)	10 (0.74%)	1.39	6.892E-03	0.0352	Co-occurrence
P-0015603	MUT	INSR	19p13.2	12 (1.06%)	3 (0.22%)	2.25	7.217E-03	0.0358	Co-occurrence
P-0015603	MUT	MRE11	11q21	12 (1.06%)	3 (0.22%)	2.25	7.217E-03	0.0358	Co-occurrence
P-0015603	MUT	SMAD2	18q21.1	12 (1.06%)	3 (0.22%)	2.25	7.217E-03	0.0358	Co-occurrence
P-0015603	MUT	SUZ12	17q11.2	12 (1.06%)	3 (0.22%)	2.25	7.217E-03	0.0358	Co-occurrence
P-0015603	MUT	HIST1H3F	6p22.2	15 (1.33%)	5 (0.37%)	1.83	7.461E-03	0.0368	Co-occurrence
P-0015603	MUT	TSC2	16p13.3	35 (3.09%)	21 (1.56%)	0.99	7.841E-03	0.0384	Co-occurrence
P-0015603	MUT	BRCA2	13q13.1	45 (3.98%)	30 (2.23%)	0.83	8.102E-03	0.039	Co-occurrence
P-0015603	MUT	DIS3	13q21.33	19 (1.68%)	8 (0.60%)	1.5	8.145E-03	0.039	Co-occurrence
P-0015603	MUT	PMS1	2q32.2	19 (1.68%)	8 (0.60%)	1.5	8.145E-03	0.039	Co-occurrence
P-0015603	MUT	ACVR1	2q24.1	10 (0.88%)	2 (0.15%)	2.57	8.858E-03	0.039	Co-occurrence
P-0015603	MUT	GATA3	10p14	10 (0.88%)	2 (0.15%)	2.57	8.858E-03	0.039	Co-occurrence
P-0015603	MUT	NFE2L2	2q31.2	10 (0.88%)	2 (0.15%)	2.57	8.858E-03	0.039	Co-occurrence
P-0015603	MUT	STAT3	17q21.2	10 (0.88%)	2 (0.15%)	2.57	8.858E-03	0.039	Co-occurrence
P-0015603	MUT	USP28	11q23.2	10 (0.88%)	2 (0.15%)	2.57	8.858E-03	0.039	Co-occurrence
P-0015603	MUT	CHEK1	11q24.2	6 (0.53%)	0 (0.00%)	>10	9.04E-03	0.039	Co-occurrence
P-0015603	MUT	DROSHA	5p13.3	6 (0.53%)	0 (0.00%)	>10	9.04E-03	0.039	Co-occurrence
P-0015603	MUT	FOXO1	13q14.11	6 (0.53%)	0 (0.00%)	>10	9.04E-03	0.039	Co-occurrence
P-0015603	MUT	MAPK3	16p11.2	6 (0.53%)	0 (0.00%)	>10	9.04E-03	0.039	Co-occurrence
P-0015603	MUT	PIK3R3	1p34.1	6 (0.53%)	0 (0.00%)	>10	9.04E-03	0.039	Co-occurrence
P-0015603	MUT	PIM1	6p21.2	6 (0.53%)	0 (0.00%)	>10	9.04E-03	0.039	Co-occurrence
P-0015603	MUT	RAD54L	1p34.1	6 (0.53%)	0 (0.00%)	>10	9.04E-03	0.039	Co-occurrence
P-0015603	MUT	RPS6KB2	11q13.2	6 (0.53%)	0 (0.00%)	>10	9.04E-03	0.039	Co-occurrence
P-0015603	MUT	RTEL1	20q13.33	6 (0.53%)	0 (0.00%)	>10	9.04E-03	0.039	Co-occurrence
P-0015603	MUT	STK40	1p34.3	6 (0.53%)	0 (0.00%)	>10	9.04E-03	0.039	Co-occurrence
P-0015603	MUT	XIAP	Xq25	6 (0.53%)	0 (0.00%)	>10	9.04E-03	0.039	Co-occurrence
P-0015603	MUT	ASXL1	20q11.21	39 (3.45%)	25 (1.86%)	0.89	9.381E-03	0.0401	Co-occurrence
P-0015603	MUT	MLH1	3p22.2	20 (1.77%)	9 (0.67%)	1.4	9.413E-03	0.0401	Co-occurrence
P-0015603	MUT	NUP93	16q13	8 (0.71%)	1 (0.07%)	3.25	0.0101	0.0415	Co-occurrence
P-0015603	MUT	PIK3R2	19p13.11	8 (0.71%)	1 (0.07%)	3.25	0.0101	0.0415	Co-occurrence
P-0015603	MUT	RAD51D	17q12	8 (0.71%)	1 (0.07%)	3.25	0.0101	0.0415	Co-occurrence
P-0015603	MUT	RIF1	2q23.3	8 (0.71%)	1 (0.07%)	3.25	0.0101	0.0415	Co-occurrence
P-0015603	MUT	TGFBR2	3p24.1	8 (0.71%)	1 (0.07%)	3.25	0.0101	0.0415	Co-occurrence
P-0015603	MUT	EP300	22q13.2	33 (2.92%)	20 (1.49%)	0.97	0.0105	0.0433	Co-occurrence
P-0015603	MUT	ERCC3	2q14.3	17 (1.50%)	7 (0.52%)	1.53	0.0111	0.0451	Co-occurrence
P-0015603	MUT	TSC1	9q34.13	17 (1.50%)	7 (0.52%)	1.53	0.0111	0.0451	Co-occurrence
P-0015603	MUT	DICER1	14q32.13	28 (2.48%)	16 (1.19%)	1.06	0.012	0.0484	Co-occurrence
P-0015603	MUT	FKBP9	7p14.3	1 (0.09%)	10 (0.74%)	-3.07	0.0123	0.0492	Mutual exclusivity
P-0015603	MUT	BCOR	Xp11.4	37 (3.27%)	24 (1.79%)	0.87	0.0125	0.0495	Co-occurrence
P-0015603	MUT	NF2	22q12.2	14 (1.24%)	5 (0.37%)	1.73	0.0125	0.0495	Co-occurrence
P-0015603	MUT	RAD21	8q24.11	14 (1.24%)	5 (0.37%)	1.73	0.0125	0.0495	Co-occurrence
P-0015603	DEL	CDKN2B	9p21.3	432 (38.20%)	148 (11.01%)	1.79	3.61E-58	1.05E-55	Co-occurrence
P-0015603	DEL	CDKN2A	9p21.3	454 (40.14%)	167 (12.43%)	1.69	1.41E-57	2.05E-55	Co-occurrence
P-0015603	DEL	GATA3	10p14	32 (2.83%)	2 (0.15%)	4.25	1.83E-09	1.69E-07	Co-occurrence
P-0015603	DEL	ARID5B	10q21.2	39 (3.45%)	5 (0.37%)	3.21	2.33E-09	1.69E-07	Co-occurrence
P-0015603	DEL	ERRFI1	1p36.23	20 (1.77%)	0 (0.00%)	>10	1.44E-07	8.341E-06	Co-occurrence
P-0015603	DEL	TEK	9p21.2	22 (1.95%)	1 (0.07%)	4.71	3.84E-07	1.857E-05	Co-occurrence
P-0015603	DEL	PIK3CD	1p36.22	17 (1.50%)	0 (0.00%)	>10	1.547E-06	6.41E-05	Co-occurrence
P-0015603	DEL	PTEN	10q23.31	69 (6.10%)	34 (2.53%)	1.27	7.091E-06	2.57E-04	Co-occurrence
P-0015603	DEL	RET	10q11.21	17 (1.50%)	2 (0.15%)	3.34	8.667E-05	2.793E-03	Co-occurrence
P-0015603	DEL	TNFRSF14	1p36.32	11 (0.97%)	0 (0.00%)	>10	1.767E-04	5.124E-03	Co-occurrence
P-0015603	DEL	TP53	17p13.1	13 (1.15%)	1 (0.07%)	3.95	2.955E-04	7.789E-03	Co-occurrence
P-0015603	DEL	RAC2	22q13.1	10 (0.88%)	0 (0.00%)	>10	3.886E-04	9.39E-03	Co-occurrence
P-0015603	AMP	EGFR	7p11.2	348 (30.77%)	78 (5.80%)	2.41	4.78E-63	1.13E-60	Co-occurrence
P-0015603	AMP	MDM4	1q32.1	61 (5.39%)	12 (0.89%)	2.59	1.37E-11	1.62E-09	Co-occurrence
P-0015603	AMP	CDK4	12q14.1	114 (10.08%)	58 (4.32%)	1.22	1.43E-08	1.13E-06	Co-occurrence
P-0015603	AMP	MDM2	12q15	65 (5.75%)	27 (2.01%)	1.52	7.23E-07	4.282E-05	Co-occurrence
P-0015603	AMP	GLI1	12q13.3	44 (3.89%)	17 (1.26%)	1.62	2.103E-05	9.97E-04	Co-occurrence
P-0015603	AMP	SOX2	3q26.33	46 (4.07%)	20 (1.49%)	1.45	5.674E-05	2.241E-03	Co-occurrence
P-0015603	AMP	PIK3C2B	1q32.1	25 (2.21%)	9 (0.67%)	1.72	8.701E-04	0.0295	Co-occurrence
P-0015573	MUT	BRAF	7q34	64 (3.21%)	66 (13.64%)	-2.08	1.91E-16	1.23E-13	Mutual exclusivity
P-0015573	MUT	IDH1	2q34	610 (30.64%)	91 (18.80%)	0.7	6.29E-08	2.014E-05	Co-occurrence
P-0015573	MUT	ARID1A	1p36.11	93 (4.67%)	2 (0.41%)	3.5	2.11E-07	4.511E-05	Co-occurrence
P-0015573	MUT	CIC	19q13.2	121 (6.08%)	7 (1.45%)	2.07	3.168E-06	5.077E-04	Co-occurrence
P-0015573	MUT	CREBBP	16p13.3	73 (3.67%)	2 (0.41%)	3.15	1.214E-05	1.36E-03	Co-occurrence
P-0015573	MUT	PIK3R1	5q13.1	147 (7.38%)	12 (2.48%)	1.57	1.273E-05	1.36E-03	Co-occurrence
P-0015573	MUT	KMT2A	11q23.3	61 (3.06%)	1 (0.21%)	3.89	1.894E-05	1.734E-03	Co-occurrence
P-0015573	MUT	MET	7q31.2	57 (2.86%)	2 (0.41%)	2.79	2.748E-04	0.0191	Co-occurrence
P-0015573	MUT	MSH6	2p16.3	48 (2.41%)	1 (0.21%)	3.54	2.749E-04	0.0191	Co-occurrence
P-0015573	MUT	NOTCH3	19p13.12	37 (1.86%)	0 (0.00%)	>10	2.983E-04	0.0191	Co-occurrence
P-0015573	MUT	NSD1	5q35.3	35 (1.76%)	0 (0.00%)	>10	4.642E-04	0.0271	Co-occurrence
P-0015573	MUT	ERBB2	17q12	34 (1.71%)	0 (0.00%)	>10	5.79E-04	0.0309	Co-occurrence
P-0015573	MUT	SETD2	3p21.31	111 (5.58%)	11 (2.27%)	1.29	9.353E-04	0.0461	Co-occurrence
P-0015573	DEL	CDKN2A	9p21.3	575 (28.88%)	46 (9.50%)	1.6	1.52E-21	4.41E-19	Co-occurrence
P-0015573	DEL	CDKN2B	9p21.3	538 (27.02%)	42 (8.68%)	1.64	1.78E-20	2.58E-18	Co-occurrence
P-0015573	AMP	EGFR	7p11.2	400 (20.09%)	26 (5.37%)	1.9	1.52E-17	3.61E-15	Co-occurrence
P-0015573	AMP	MDM4	1q32.1	72 (3.62%)	1 (0.21%)	4.13	1.882E-06	2.23E-04	Co-occurrence
P-0015573	AMP	CDK4	12q14.1	158 (7.94%)	14 (2.89%)	1.46	1.664E-05	1.314E-03	Co-occurrence
P-0015573	AMP	PDGFRA	4q12	107 (5.37%)	7 (1.45%)	1.89	3.403E-05	2.016E-03	Co-occurrence
P-0015369	MUT	CIC	19q13.2	109 (12.17%)	19 (1.20%)	3.34	1.01E-31	6.96E-29	Co-occurrence
P-0015369	MUT	IDH1	2q34	144 (16.07%)	557 (35.28%)	-1.13	8.02E-26	2.77E-23	Mutual exclusivity
P-0015369	MUT	PTEN	10q23.31	293 (32.70%)	242 (15.33%)	1.09	2.42E-23	5.58E-21	Co-occurrence
P-0015369	MUT	TP53	17p13.1	216 (24.11%)	690 (43.70%)	-0.86	3.82E-23	6.61E-21	Mutual exclusivity
P-0015369	MUT	ATRX	Xq21.1	57 (6.36%)	318 (20.14%)	-1.66	2.3E-22	3.19E-20	Mutual exclusivity
P-0015369	MUT	FUBP1	1p31.1	37 (4.13%)	2 (0.13%)	5.03	9.29E-15	1.07E-12	Co-occurrence
P-0015369	MUT	PIK3R1	5q13.1	95 (10.60%)	64 (4.05%)	1.39	3.72E-10	3.68E-08	Co-occurrence
P-0015369	MUT	MGA	15q15.1	24 (2.68%)	3 (0.19%)	3.82	1.76E-08	1.521E-06	Co-occurrence
P-0015369	MUT	NOTCH3	19p13.12	30 (3.35%)	7 (0.44%)	2.92	2.31E-08	1.774E-06	Co-occurrence
P-0015369	MUT	PTPRT	20q12-q13.11	21 (2.34%)	2 (0.13%)	4.21	5.12E-08	3.546E-06	Co-occurrence
P-0015369	MUT	IRS1	2q36.3	16 (1.79%)	0 (0.00%)	>10	7.99E-08	5.024E-06	Co-occurrence
P-0015369	MUT	GRIN2A	16p13.2	22 (2.46%)	3 (0.19%)	3.69	1.09E-07	6.31E-06	Co-occurrence
P-0015369	MUT	NSD1	5q35.3	28 (3.13%)	7 (0.44%)	2.82	1.2E-07	6.403E-06	Co-occurrence
P-0015369	MUT	PIK3CG	7q22.3	23 (2.57%)	4 (0.25%)	3.34	1.96E-07	9.676E-06	Co-occurrence
P-0015369	MUT	KDM5A	12p13.33	22 (2.46%)	4 (0.25%)	3.28	4.69E-07	2.165E-05	Co-occurrence
P-0015369	MUT	DOT1L	19p13.3	14 (1.56%)	0 (0.00%)	>10	6.22E-07	2.392E-05	Co-occurrence
P-0015369	MUT	TBX3	12q24.21	14 (1.56%)	0 (0.00%)	>10	6.22E-07	2.392E-05	Co-occurrence
P-0015369	MUT	TP53BP1	15q15.3	14 (1.56%)	0 (0.00%)	>10	6.22E-07	2.392E-05	Co-occurrence
P-0015369	MUT	ZFHX3	16q22.2-q22.3	18 (2.01%)	2 (0.13%)	3.99	8.5E-07	3.096E-05	Co-occurrence
P-0015369	MUT	KMT2C	7q36.1	24 (2.68%)	6 (0.38%)	2.82	1.022E-06	3.538E-05	Co-occurrence
P-0015369	MUT	RB1	13q14.2	90 (10.04%)	80 (5.07%)	0.99	2.892E-06	9.531E-05	Co-occurrence
P-0015369	MUT	STAG2	Xq25	49 (5.47%)	31 (1.96%)	1.48	3.221E-06	1.013E-04	Co-occurrence
P-0015369	MUT	IKBKE	1q32.1	12 (1.34%)	0 (0.00%)	>10	4.834E-06	1.454E-04	Co-occurrence
P-0015369	MUT	ERG	21q22.2	22 (2.46%)	6 (0.38%)	2.69	5.155E-06	1.486E-04	Co-occurrence
P-0015369	MUT	TP63	3q28	16 (1.79%)	2 (0.13%)	3.82	5.378E-06	1.489E-04	Co-occurrence
P-0015369	MUT	MAP3K13	3q27.2	14 (1.56%)	1 (0.06%)	4.62	6.211E-06	1.653E-04	Co-occurrence
P-0015369	MUT	FGFR3	4p16.3	34 (3.79%)	17 (1.08%)	1.82	7.785E-06	1.949E-04	Co-occurrence
P-0015369	MUT	FAT1	4q35.2	35 (3.91%)	18 (1.14%)	1.78	7.888E-06	1.949E-04	Co-occurrence
P-0015369	MUT	MED12	Xq13.1	25 (2.79%)	9 (0.57%)	2.29	9.18E-06	2.187E-04	Co-occurrence
P-0015369	MUT	NOTCH4	6p21.32	17 (1.90%)	3 (0.19%)	3.32	9.481E-06	2.187E-04	Co-occurrence
P-0015369	MUT	AXIN2	17q24.1	15 (1.67%)	2 (0.13%)	3.72	1.339E-05	2.989E-04	Co-occurrence
P-0015369	MUT	RPTOR	17q25.3	18 (2.01%)	4 (0.25%)	2.99	1.436E-05	3.09E-04	Co-occurrence
P-0015369	MUT	MTOR	1p36.22	33 (3.68%)	17 (1.08%)	1.77	1.473E-05	3.09E-04	Co-occurrence
P-0015369	MUT	H3F3B	17q25.1	5 (0.56%)	46 (2.91%)	-2.38	1.593E-05	3.241E-04	Mutual exclusivity
P-0015369	MUT	POLE	12q24.33	25 (2.79%)	10 (0.63%)	2.14	2.12E-05	4.191E-04	Co-occurrence
P-0015369	MUT	PIK3C2G	12p12.3	16 (1.79%)	3 (0.19%)	3.23	2.262E-05	4.348E-04	Co-occurrence
P-0015369	MUT	FLT4	5q35.3	39 (4.35%)	24 (1.52%)	1.52	2.364E-05	4.422E-04	Co-occurrence
P-0015369	MUT	ATR	3q23	20 (2.23%)	6 (0.38%)	2.55	2.502E-05	4.556E-04	Co-occurrence
P-0015369	MUT	EZH2	7q36.1	17 (1.90%)	4 (0.25%)	2.9	3.303E-05	5.86E-04	Co-occurrence
P-0015369	MUT	IRF4	6p25.3	10 (1.12%)	0 (0.00%)	>10	3.744E-05	6.477E-04	Co-occurrence
P-0015369	MUT	IRS2	13q34	12 (1.34%)	1 (0.06%)	4.4	4.202E-05	6.923E-04	Co-occurrence
P-0015369	MUT	PIK3CD	1p36.22	12 (1.34%)	1 (0.06%)	4.4	4.202E-05	6.923E-04	Co-occurrence
P-0015369	MUT	SPEN	1p36.21-p36.13	18 (2.01%)	5 (0.32%)	2.67	4.38E-05	7.048E-04	Co-occurrence
P-0015369	MUT	BRAF	7q34	27 (3.01%)	103 (6.52%)	-1.11	7.055E-05	1.11E-03	Mutual exclusivity
P-0015369	MUT	ANKRD11	16q24.3	13 (1.45%)	2 (0.13%)	3.52	8.112E-05	1.22E-03	Co-occurrence
P-0015369	MUT	CDK12	17q12	13 (1.45%)	2 (0.13%)	3.52	8.112E-05	1.22E-03	Co-occurrence
P-0015369	MUT	BRIP1	17q23.2	24 (2.68%)	11 (0.70%)	1.94	9E-05	1.315E-03	Co-occurrence
P-0015369	MUT	MAP3K1	5q11.2	25 (2.79%)	12 (0.76%)	1.88	9.321E-05	1.315E-03	Co-occurrence
P-0015369	MUT	CARD11	7p22.2	28 (3.13%)	15 (0.95%)	1.72	9.618E-05	1.315E-03	Co-occurrence
P-0015369	MUT	RAD50	5q31.1	17 (1.90%)	5 (0.32%)	2.58	9.65E-05	1.315E-03	Co-occurrence
P-0015369	MUT	AXIN1	16p13.3	9 (1.00%)	0 (0.00%)	>10	1.041E-04	1.315E-03	Co-occurrence
P-0015369	MUT	ARID5B	10q21.2	11 (1.23%)	1 (0.06%)	4.28	1.083E-04	1.315E-03	Co-occurrence
P-0015369	MUT	EPHB1	3q22.2	11 (1.23%)	1 (0.06%)	4.28	1.083E-04	1.315E-03	Co-occurrence
P-0015369	MUT	HGF	7q21.11	11 (1.23%)	1 (0.06%)	4.28	1.083E-04	1.315E-03	Co-occurrence
P-0015369	MUT	LATS1	6q25.1	11 (1.23%)	1 (0.06%)	4.28	1.083E-04	1.315E-03	Co-occurrence
P-0015369	MUT	MST1R	3p21.31	11 (1.23%)	1 (0.06%)	4.28	1.083E-04	1.315E-03	Co-occurrence
P-0015369	MUT	SYK	9q22.2	11 (1.23%)	1 (0.06%)	4.28	1.083E-04	1.315E-03	Co-occurrence
P-0015369	MUT	SETD2	3p21.31	64 (7.14%)	58 (3.67%)	0.96	1.236E-04	1.442E-03	Co-occurrence
P-0015369	MUT	CREBBP	16p13.3	43 (4.80%)	32 (2.03%)	1.24	1.246E-04	1.442E-03	Co-occurrence
P-0015369	MUT	NCOR1	17p12-p11.2	14 (1.56%)	3 (0.19%)	3.04	1.251E-04	1.442E-03	Co-occurrence
P-0015369	MUT	NOTCH1	9q34.3	67 (7.48%)	62 (3.93%)	0.93	1.275E-04	1.447E-03	Co-occurrence
P-0015369	MUT	DNMT3A	2p23.3	30 (3.35%)	18 (1.14%)	1.55	1.65E-04	1.842E-03	Co-occurrence
P-0015369	MUT	PBRM1	3p21.1	27 (3.01%)	15 (0.95%)	1.67	1.777E-04	1.929E-03	Co-occurrence
P-0015369	MUT	IKZF1	7p12.2	24 (2.68%)	12 (0.76%)	1.82	1.784E-04	1.929E-03	Co-occurrence
P-0015369	MUT	DNMT1	19p13.2	12 (1.34%)	2 (0.13%)	3.4	1.969E-04	2.097E-03	Co-occurrence
P-0015369	MUT	BCOR	Xp11.4	36 (4.02%)	25 (1.58%)	1.34	2.016E-04	2.114E-03	Co-occurrence
P-0015369	MUT	SMARCA4	19p13.2	38 (4.24%)	28 (1.77%)	1.26	2.747E-04	2.383E-03	Co-occurrence
P-0015369	MUT	BCL6	3q27.3	18 (2.01%)	7 (0.44%)	2.18	2.756E-04	2.383E-03	Co-occurrence
P-0015369	MUT	AMER1	Xq11.2	10 (1.12%)	1 (0.06%)	4.14	2.773E-04	2.383E-03	Co-occurrence
P-0015369	MUT	BARD1	2q35	10 (1.12%)	1 (0.06%)	4.14	2.773E-04	2.383E-03	Co-occurrence
P-0015369	MUT	CTCF	16q22.1	10 (1.12%)	1 (0.06%)	4.14	2.773E-04	2.383E-03	Co-occurrence
P-0015369	MUT	GATA2	3q21.3	10 (1.12%)	1 (0.06%)	4.14	2.773E-04	2.383E-03	Co-occurrence
P-0015369	MUT	MDC1	6p21.33	10 (1.12%)	1 (0.06%)	4.14	2.773E-04	2.383E-03	Co-occurrence
P-0015369	MUT	PARP1	1q42.12	10 (1.12%)	1 (0.06%)	4.14	2.773E-04	2.383E-03	Co-occurrence
P-0015369	MUT	STAT5B	17q21.2	10 (1.12%)	1 (0.06%)	4.14	2.773E-04	2.383E-03	Co-occurrence
P-0015369	MUT	MSH6	2p16.3	30 (3.35%)	19 (1.20%)	1.48	2.806E-04	2.383E-03	Co-occurrence
P-0015369	MUT	DNMT3B	20q11.21	8 (0.89%)	0 (0.00%)	>10	2.892E-04	2.383E-03	Co-occurrence
P-0015369	MUT	ERRFI1	1p36.23	8 (0.89%)	0 (0.00%)	>10	2.892E-04	2.383E-03	Co-occurrence
P-0015369	MUT	RPS6KA4	11q13.1	8 (0.89%)	0 (0.00%)	>10	2.892E-04	2.383E-03	Co-occurrence
P-0015369	MUT	SHQ1	3p13	8 (0.89%)	0 (0.00%)	>10	2.892E-04	2.383E-03	Co-occurrence
P-0015369	MUT	TEK	9p21.2	8 (0.89%)	0 (0.00%)	>10	2.892E-04	2.383E-03	Co-occurrence
P-0015369	MUT	TRAF2	9q34.3	8 (0.89%)	0 (0.00%)	>10	2.892E-04	2.383E-03	Co-occurrence
P-0015369	MUT	YES1	18p11.32	8 (0.89%)	0 (0.00%)	>10	2.892E-04	2.383E-03	Co-occurrence
P-0015369	MUT	ASXL2	2p23.3	13 (1.45%)	3 (0.19%)	2.93	2.892E-04	2.383E-03	Co-occurrence
P-0015369	MUT	ARID1B	6q25.3	42 (4.69%)	33 (2.09%)	1.17	3.047E-04	2.48E-03	Co-occurrence
P-0015369	MUT	CDKN2C	1p32.3	20 (2.23%)	9 (0.57%)	1.97	3.164E-04	2.517E-03	Co-occurrence
P-0015369	MUT	KMT2A	11q23.3	36 (4.02%)	26 (1.65%)	1.29	3.165E-04	2.517E-03	Co-occurrence
P-0015369	MUT	PTPRS	19p13.3	15 (1.67%)	5 (0.32%)	2.4	4.51E-04	3.507E-03	Co-occurrence
P-0015369	MUT	SOS1	2p22.1	15 (1.67%)	5 (0.32%)	2.4	4.51E-04	3.507E-03	Co-occurrence
